"t","year","policy","baseline","impacts","cooperation","disnt","prstp","emi_ind","gmt_increase","cum_co2_emi","emi_tot","forcing"
1,2015,"CBA","ssp1","BHM-LR","coop-pop",2,0.03,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","noncoop-pop",NA,0.001,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","noncoop-pop",NA,0.015,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","noncoop-pop",NA,0.03,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","coop-pop",0,0.001,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","coop-pop",0,0.015,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","coop-pop",0,0.03,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","coop-pop",0.5,0.001,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","coop-pop",0.5,0.015,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","coop-pop",0.5,0.03,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","coop-pop",1.45,0.001,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","coop-pop",1.45,0.015,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","coop-pop",1.45,0.03,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","coop-pop",2,0.001,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","coop-pop",2,0.015,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","coop-pop",2,0.03,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","noncoop-pop",NA,0.001,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","noncoop-pop",NA,0.015,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","noncoop-pop",NA,0.03,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-SR","coop-pop",0,0.001,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
